date,subject,condition,Start,Start_Frame,Stop,Stop_Frame,duration,subject2,Behaviour,Value,trial
05/05/2021,Jurij,teasing,203.4997207,6105,,,,Jurij,look_away,look_away,1
05/05/2021,Jurij,teasing,204.7663856,6143,207.0663825,6212,2.299996843,Jurij,time_away,walk_away,1
05/05/2021,Jurij,teasing,206.3997167,6192,207.0663825,6212,0.666665752,Jurij,misc,lateral_approach,1
05/05/2021,Jurij,teasing,272.1329598,8164,303.9662495,9119,31.83328964,Jurij,trial,2,2
05/05/2021,Jurij,teasing,286.5996066,8598,303.9662495,9119,17.36664283,Jurij,sitting_laying_down,sitting_down,2
05/05/2021,Jurij,teasing,303.5329167,9106,,,,Jurij,look_away,look_away,2
05/05/2021,Jurij,teasing,346.2661914,10388,377.632815,11329,31.36662361,Jurij,trial,3,3
05/05/2021,Jurij,teasing,361.2995041,10839,,,,Jurij,look_away,look_away,3
05/05/2021,Jurij,teasing,368.0994948,11043,377.632815,11329,9.533320249,Jurij,time_away,walk_away,3
05/05/2021,Jurij,teasing,422.2994204,12669,454.9993755,13650,32.69995512,Jurij,trial,4,4
05/05/2021,Jurij,teasing,434.0327376,13021,454.9993755,13650,20.96663789,Jurij,sitting_laying_down,sitting_down,4
